RID,datetime,idn,carrier,date,connection,arrival,delay_in_min,name
ci40330120,06-05-22 7:00,9735353,Koleje Mazowieckie,06-05-22,Warszawa Centralna - Modlin,7:3535:00 AM,0,Warszawa Wschodnia
ci40330112,06-05-22 7:00,995350/35  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:3523:00 AM,1,Warszawa Wschodnia
nc73770880,06-05-22 7:00,93958/9  ,Koleje Mazowieckie,06-05-22,Warszawa Rembertów - Skierniewice,7:353:00 AM,12,Warszawa Wschodnia
hv73118202,06-05-22 7:00,2335550/35  ,Koleje Mazowieckie,06-05-22,Radom Główny - Pilawa,7:356:00 AM,0,Warszawa Wschodnia
ci40330104,06-05-22 7:00,6353570/35  KARKONOSZE,PKP Intercity,06-05-22,Jelenia Góra - Warszawa Wschodnia,7:356:00 AM,23,Warszawa Wschodnia
ci40330096,06-05-22 7:00,232363523/3  ,Koleje Mazowieckie,06-05-22,Sobolew - Radom Główny,7:358:00 AM,0,Warszawa Wschodnia
hv73118182,06-05-22 7:00,350353523/3  ZAMENHOF,PKP Intercity,06-05-22,Białystok - Warszawa Zachodnia,7:230:00 AM,5,Warszawa Wschodnia
us6000icxg,06-05-22 7:00,935404/5  ,Koleje Mazowieckie,06-05-22,Łowicz Główny - Warszawa Wschodnia,7:230:00 AM,16,Warszawa Wschodnia
us6000icxd,06-05-22 7:00,23353504/5  RADOMIAK,Koleje Mazowieckie,06-05-22,Skarżysko-Kamienna - Mińsk Mazowiecki,7:233:00 AM,0,Warszawa Wschodnia
nn00845643,06-05-22 7:00,999350/35  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:234:00 AM,18,Warszawa Wschodnia
nc73770855,06-05-22 7:00,35500/35  ,PKP Intercity,06-05-22,Warszawa Centralna - Gdynia Główna,7:236:00 AM,0,Warszawa Wschodnia
hv73118102,06-05-22 7:00,935956/7  ,Koleje Mazowieckie,06-05-22,Skierniewice - Warszawa Rembertów,7:237:00 AM,20,Warszawa Wschodnia
pr71367508,06-05-22 7:00,9355323/3  ,Koleje Mazowieckie,06-05-22,Celestynów - Warszawa Zachodnia,7:238:00 AM,7,Warszawa Wschodnia
us6000icx6,06-05-22 7:00,935500/35  ,Koleje Mazowieckie,06-05-22,Otwock - Warszawa Zachodnia,6:58,4,Warszawa Ochota
av91667086,06-05-22 7:00,995350/35  ,SKM Warszawa,06-05-22,Pruszków - Otwock,7:00,21,Warszawa Ochota
pr2022234001,06-05-22 7:00,99908/9  ,SKM Warszawa,06-05-22,Sulejówek Miłosna - Warszawa Lotnisko Chopina,7:023:00 AM,0,Warszawa Ochota
nc73770830,06-05-22 7:00,2335550/35  ,Koleje Mazowieckie,06-05-22,Radom Główny - Pilawa,7:04,12,Warszawa Ochota
pr71367483,06-05-22 7:00,2335300/35  ,Koleje Mazowieckie,06-05-22,Dęblin - Grodzisk Mazowiecki,7:06,0,Warszawa Ochota
